Role,Companies,Location,Experience,Skills
Data Analyst,Paytm,Noida,1-3 Yrs,"hive
Basic
customer analytics
E-commerce
Data Analyst
Analyst 1
big data
Analytics"
Applied Scientist - Intern,Amazon India Software Dev Centre Pvt Ltd,Bengaluru,0-2 Yrs,"com
rest
development
c
software
developing
Perl
Customer service"
Senior Software Engineer- NLP/ML,Xavient Digital - Powered by TELUS International,Noida,3-6 Yrs,"Data Science
Tensorflow
Predictive Modeling
NLP
Artificial Intelligence
Keras
Spacy
Machine Learning"
Se/sse/lead - Data Science,Bold Technology Systems Private Limited,Noida(Sector-135 Noida),3-8 Yrs,"Data Science
Predictive Modeling
R
NLP
Neural Networks
Decision Trees
Machine Learning
Deep Learning"
Digital - Data Lakes - Data Mining Engineer,FactSet Systems India Pvt Ltd,Hyderabad,3-7 Yrs,"Automation
Data analysis
GIT
Linux
Data structures
Windows
Data mining
MATLAB"
Data Science Platform Administrator,Seagate Technology HDD (India) Pvt Ltd,Pune,3-8 Yrs,"Data Science
R
Data Engineering
Hadoop
Knime
Machine Learning
Statistical Analysis
Deep Learning"
Data Engineer,Mavenir,Bengaluru,3-5 Yrs,"Economics
C++
RCS
spark
Network optimization
Machine learning
Cloud
Consultancy"
Software Engineer II,"Total System Services, Inc.",Pune,3-6 Yrs,"Computer science
Data modeling
GCP
Formulation
Machine learning
Apache
Information technology
Middleware"
Business Analyst(Must have worked with Watson Explorer(WEx),Collabera Technologies Private Limited,Pune,2-5 Yrs,"Data Science
Java
Project Management
Linux
Agile
Watson Explorer
Watson
WEx"
Urgent -Computer Scientists/ Developers (c/c++/CAD/ Matlab)|,Executive Tracks Associates (P) Ltd.,Pune,2-5 Yrs,"Full Stack Web Development Knowledge on CI/CD Tools
Knowledge in MATLAB
C/ C++ & Python & Qt"
Data Analyst- Ml/data Science,Bigshyft Hiring for Intello Labs,Gurgaon,2-4 Yrs,"R
Hive
Statistical Modelling
MATLAB
Pig"
Modeling Expert-python & Big Data-mumbai (automobile Industry 4-8 year,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,Mumbai,4-8 Yrs,"Predictive Modeling
Multivariate Analysis
R
Hive
Text Analytics
Artificial Intelligence
Hadoop
Big Data"
Sr Analyst /Manager-modeling Analyst,Placewell Consultants,Mumbai,4-8 Yrs,"warranty analysis
Data Scientist
Data Modeling
problem resolution"
Software Development Engineer,Amazon India Software Dev Centre Pvt Ltd,Bengaluru,1-5 Yrs,"Computer science
Object oriented design
Publishing
Analytical
Machine learning
Data structures
Technology solutions
Data mining"
Data Science Engineer,Bigshyft Hiring for TechStar Group,Bengaluru,3-6 Yrs,"R
Spark
Machine Learning ML
Statistical Modelling
Python"
Sr. Python/ Machine Learning Developer,WiseSource Solutions Private Limited,"Chennai, Bengaluru, Hyderabad",3-6 Yrs,"Pytorch
Tensorflow
Nltk
Data Science
Opencv
Keras
Machine Learning
Deep Learning"
Looking For Data Science Lead - 7+yrs Exp,Careernet Technologies Pvt Ltd,Bengaluru,7-12 Yrs,"Data Science
NLP
Arima
Artificial Intelligence
Natural Language Processing
Neural Networks
Machine Learning
Stakeholder Management"
Corporate Trainer - Python/ Advance Python,Koenig Solutions Ltd,any,2-7 Yrs,"Data Science
python
Artificial Intelligence
advance python
Machine Learning"
Senior Software Engineer- NLP/ML,Xavient Digital - Powered by TELUS International,Noida,3-6 Yrs,"Data Science
Tensorflow
Predictive Modeling
NLP
Artificial Intelligence
Keras
Spacy
Machine Learning"
Data Science Engineer,Varite,Bengaluru,3-8 Yrs,"MS SQL
data science
RDBMS
Postgresql
Machine learning
Healthcare
Oracle
microsoft"
PDE Process Control System ( PCS ) Engineer,Micron Technology Operations India LLP,India,2-7 Yrs,"R
Networking
Classification
Hadoop
Big Data
Machine Learning
Statistics
Deep Learning"
Programmer/Analyst,Netapp India Private Limited,Bengaluru,2-5 Yrs,"Big Data Analytics
Presto
NoSQL
Artificial Intelligence
Hadoop
Data Modeling
Machine Learning
Predictive Analytics"
Data Annotator - Bangalore - Work from Home,CIEL HR Services Pvt Ltd,Bengaluru,1-3 Yrs,"work from home
Data Science
tensorflow
python
data annotator
data annotation
image annotation
machine learning"
Sr Analyst - Assistant Manager Analytics,Colgate Palmolive,Mumbai,6-11 Yrs,"R
Artificial Neural Networks
Periscope
Data Mining
Clustering
Machine Learning
Statistics
Analytics"
Modeling Expert-python & Big Data-mumbai (automobile Industry 4-8 year,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,Mumbai,4-8 Yrs,"Predictive Modeling
Multivariate Analysis
R
Hive
Text Analytics
Artificial Intelligence
Hadoop
Big Data"
Sr Analyst /Manager-modeling Analyst,Placewell Consultants,Mumbai,4-8 Yrs,"warranty analysis
Data Scientist
Data Modeling
problem resolution"
Algorithm Trader,Estee Advisors Private Limited,"Delhi NCR, Gurgaon",3-6 Yrs,"C++
R
Go
.Net
SPSS
Data Analytics
Quantitative Finance
MATLAB"
Data Science Engineer,Cognologix Technologies,Pune,3-8 Yrs,"Text mining
Cloud computing
data science
Analytical
Artificial Intelligence
Machine learning
Information retrieval
Natural language processing"
Mobile AI Engineer - NLP & Speech Tech,DataToBiz,"Panchkula, Chandigarh",2-7 Yrs,"deep learning
data science
Consulting
Machine learning
M&A
Application development
Project planning
Analytics"
Machine Learning Internship,Codersarts,Noida,0-1 Yrs,"Computer vision
deep learning
Coding
Neural networks
Django
Machine learning
Natural language processing
Data analytics"
Machine Learning Internship in Ahmedabad,MAXGEN TECHNOLOGIES PRIVATE LIMITED,"Ahmedabad(Navrangpura), Anand, Mehsana",0-0 Yrs,"summer internship
machine learning internship in ahmedabad
data science internship"
Data Architect (Java Python and Tensorflow),Moglix,Noida,2-5 Yrs,"Text mining
Statistical analysis
data science
Data Architect
Information retrieval
Data quality
Natural language processing
Data mining"
Data Engineer,DataKare Solutions,Hyderabad,0-2 Yrs,"Cloud computing
PDF
Linux
Data management
Coding
Analytical
Shell scripting
Machine learning"
Looking For Data Science Lead - 7+yrs Exp,Careernet Technologies Pvt Ltd,Bengaluru,7-12 Yrs,"Data Science
NLP
Arima
Artificial Intelligence
Natural Language Processing
Neural Networks
Machine Learning
Stakeholder Management"
Research Scientist - IBM Research,IBM India Pvt. Limited,Bengaluru,3-8 Yrs,"Quantum Computing
Technical Management
5G
Open Source
Artificial Intelligence
cloud management
networking
virtualisation"
Associate Scientist / Senior Associate Scientist - Safety Assessment,Syngene International Limited,Bengaluru,2-6 Yrs,"DABT
Chromosomal aberration
Miicronucleus test
Genetic Toxicology
Bacterial reverse mutation test"
Corporate Trainer - Python/ Advance Python,Koenig Solutions Ltd,any,2-7 Yrs,"Data Science
python
Artificial Intelligence
advance python
Machine Learning"
Data Engineer - Machine Learning/configuration Management Tools,RS Consultants,Pune,2-7 Yrs,"Tensorflow
Java
Configuration Management Tools
GCP ML Stack
Data Management
Machine Learning
Spark ML - Lib
Data Science"
Programmer/Analyst,Netapp India Private Limited,Bengaluru,2-5 Yrs,"Big Data Analytics
Presto
NoSQL
Artificial Intelligence
Hadoop
Data Modeling
Machine Learning
Predictive Analytics"
Sr Analyst - Assistant Manager Analytics,Colgate Palmolive,Mumbai,6-11 Yrs,"R
Artificial Neural Networks
Periscope
Data Mining
Clustering
Machine Learning
Statistics
Analytics"
Data Analyst - Global Reporting and Analytics,The Glove,Hyderabad,3-6 Yrs,"Data Analysis
Data Analytics
Python"
Machine Learning Internship,Codersarts,Noida,0-1 Yrs,"Computer vision
deep learning
Coding
Neural networks
Django
Machine learning
Natural language processing
Data analytics"
Mobile AI Engineer - NLP & Speech Tech,DataToBiz,"Panchkula, Chandigarh",2-7 Yrs,"deep learning
data science
Consulting
Machine learning
M&A
Application development
Project planning
Analytics"
Data Architect (Java Python and Tensorflow),Moglix,Noida,2-5 Yrs,"Text mining
Statistical analysis
data science
Data Architect
Information retrieval
Data quality
Natural language processing
Data mining"
Data Engineer,DataKare Solutions,Hyderabad,0-2 Yrs,"Cloud computing
PDF
Linux
Data management
Coding
Analytical
Shell scripting
Machine learning"
Senior Data Science Engineer - Machine Learning/ Python,PayMe India,Noida,4-9 Yrs,"Predictive Modeling
Data Science
Data Scientist
Data Management
Data Mining
Data Analytics
Machine Learning
Deep Learning"
Advanced Analytics Cons 4,Wells Fargo India Solutions Pvt. Ltd.,Bengaluru,4-8 Yrs,"SAN
Data analysis
Automation
data science
Analytical
Machine learning
Predictive modeling
commercial finance"
Applied Scientist III - Machine Learning/ Deep Learning,MY Search,Bengaluru,9-14 Yrs,"Tensorflow
Java
R
C++
C
Statistical Modeling
MATLAB
PhD"
Data Science Product Manager Artificial Intelligence/ Machine Learning,Catalyst,Bengaluru,4-9 Yrs,"Data Science
Tensorflow
R
NoSQL
Docker
Artificial Intelligence
Machine Learning
Deep Learning"
Associate Vice President - Healthcare Analytics - SAS,Huquo Consulting Pvt. Ltd,Noida,10-15 Yrs,"Predictive Modeling
SAS
Statistical Modeling
Data Analytics
Statistics
Consulting - Healthcare
Analytics
Predictive Analytics"
Manager - Quantitative Analyst - Python - BFS,New Avenues Consulting,Noida,5-9 Yrs,"Statistical Modeling
Financial Modeling
Data Analytics
Statistics
Analytics
Python
Quant"
Con / AM / Mgr - Data Analytics ( CPG sector),Pylon Management Consulting Pvt Ltd,"Noida, Gurgaon",4-9 Yrs,"data analytics
CPG sector
statistics
arima
r
python
time series
statistical modelling"
Manager - Machine Learning - Ensemble Modeling/ Classification,Catalyst,Bengaluru,7-12 Yrs,"OOP
Java
C++
C
Algorithms
Data Structures
Bash
Machine Learning"
Assistant Manager/manager - SAS - AML - Credit Card Domain,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-8 Yrs,"Consulting - BFSI
SAS
Big Data
Data Modeling
Statistics
Analytics
Risk Management"
Assistant Manager/manager - Anti Money Laundering Analytics - Banking,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-8 Yrs,"AML
Consulting - BFSI
SAS
Risk Analytics
Big Data
Statistical Modeling
Data Analytics
Statistics"
Research Scientist - IBM Research,IBM India Pvt. Limited,Bengaluru,3-8 Yrs,"Quantum Computing
Technical Management
5G
Open Source
Artificial Intelligence
cloud management
networking
virtualisation"
Associate Scientist / Senior Associate Scientist - Safety Assessment,Syngene International Limited,Bengaluru,2-6 Yrs,"DABT
Chromosomal aberration
Miicronucleus test
Genetic Toxicology
Bacterial reverse mutation test"
Data Engineer - Machine Learning/configuration Management Tools,RS Consultants,Pune,2-7 Yrs,"Tensorflow
Java
Configuration Management Tools
GCP ML Stack
Data Management
Machine Learning
Spark ML - Lib
Data Science"
LTI hiring For Python Developers_Hyderabad & Pune,Larsen & Toubro Infotech Limited,"Pune, Hyderabad",3-5 Yrs,"Data Science
GCP
google cloud
datascience
Python"
Data Analyst,Concept International Business Consulting Pvt Ltd,"Delhi NCR, Gurgaon",3-5 Yrs,"R
Azure
DATA ENGINEERING
SAP Analytics Cloud
Python
SQL"
Senior Data Science Engineer - Machine Learning/ Python,PayMe India,Noida,4-9 Yrs,"Predictive Modeling
Data Science
Data Scientist
Data Management
Data Mining
Data Analytics
Machine Learning
Deep Learning"
Hiring ll Data Engineer ll automobile company_Delhi,BGPS MANAGEMENT SOLUTIONS PRIVATE LIMITED,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata",4-9 Yrs,"Data Science
Data Engineer
Big Data"
Data Science Product Manager Artificial Intelligence/ Machine Learning,Catalyst,Bengaluru,4-9 Yrs,"Data Science
Tensorflow
R
NoSQL
Docker
Artificial Intelligence
Machine Learning
Deep Learning"
Delivery Manager - Machine Learning - IT,Maven Workforce Pvt. Ltd,Bengaluru,8-13 Yrs,"Artificial Intelligence
Statistical Modeling
Big Data
Data Mining
Data Visualization
Tableau
Machine Learning
Statistics"
Data Science Product Manager,Talent Connect,"Bengaluru, KA",4-9 Yrs,"Machine Learning
Deep Learning and Artificial Intelligence
Statistics"
Lead - Data Science - KPO,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,4-8 Yrs,"Data Science
R
Artificial Intelligence
Information Retrieval
Machine Learning
Statistical Analysis
Operations
Analytics"
Senior Consultant/ Manager - Analytics,Talpro,Chennai,5-10 Yrs,"Data Science
Artificial Intelligence
Tableau
Machine Learning
Statistics
Analytics
SQL
Python"
Risk Analytics Role - BFSI,Maven Workforce Pvt. Ltd,Pune,5-10 Yrs,"Consulting - BFSI
SAS
Risk Analytics
Statistical Modeling
Data Analytics
Risk Modeling
Machine Learning
Statistics"
Data Analyst - Sql/r/python,The Hiring Story,Mumbai,1-3 Yrs,"R
Data Analyst
Data Analytics
Python
SQL"
Opportunity For Data Engineer - 3LOQ Labs Pvt. Ltd.(Mumbai),3LOQ Labs Pvt. Ltd.,Mumbai,2-5 Yrs,"Distribution System
SCALA
Data Mining
Spark
Machine Learning
Python
SQL"
Big Data Analyst- ML Modelling / Hadoop / Azure - immediate Joining,Teamlease Servcies limited,Mumbai,2-6 Yrs,"Cnn
Azure
Lstm
Reinforcement Learning
Big Data
SQL Azure
Machine Learning
Deep Learning"
Con - Machine Learning engineer + Cloud Architect + Python (Techical),Pylon Management Consulting Pvt Ltd,Mumbai,2-4 Yrs,"Docker
GCP
KPI
Production Management
Big Data
Machine Learning
AWS
Deep Learning"
Data Science / ML / AI & Blockly - Online Coding Trainer,Brainsearch Consulting Pvt Ltd,"Delhi NCR, Mumbai, Bengaluru",1-4 Yrs,"google blockly
Artificial Intelligence
coding blocks programming
K12
Machine Learning
NumPy
Deep Learning
Data Science"
Data Analyst- ( H/ F ),Societe Generale Global Solution Centre Pvt Ltd,Chennai,12-16 Yrs,"Data Science
Predictive Modeling
R
NLP
NoSQL
Data Analysis
Data Visualization
Machine Learning"
Technical Expert: Deep Learning & Computer Vision,Siemens Limited,Bengaluru,8-13 Yrs,"Computer science
Computer vision
Automation
Prototype
Image processing
Data management
Artificial Intelligence
Opengl"
"Analytics Manager,",EXL Services.com ( I ) Pvt. Ltd.,Gurgaon(Cyber City),4-9 Yrs,"data analysis
insurance analytics
time series
svm
machine learning
Model Development
R
data reporting"
Data Science Engineer,SEW Private Limited,Delhi NCR(Sector-62 Noida),4-8 Yrs,"data analysis
Google Analytics
data validation
Power Bi
Postgresql
Cassandra
Big Data
Tableau"
"Solution Architect, Smart MFG & AI",Micron Semiconductor Asia Pte Ltd,Hyderabad,10-12 Yrs,"Computer science
data science
Architecture
Analytical
Artificial Intelligence
Production operations
Machine learning
Business intelligence"
Fullstack Engineer,Bigshyft Hiring for Indium Software,Chennai,5-8 Yrs,"PostgreSQL
JavaScript
MySQL
AWS
Python"
Senior Manager - Engineering,Indegene Private Limited,Bengaluru,5-10 Yrs,"Pytorch
Tensorflow
Data Science
Java
NLP
Artificial Intelligence
Healthcare
Keras"
Tech Manager,Tech Mahindra Ltd.,Hyderabad,5-10 Yrs,"Pytorch
Tensorflow
Data Science
Predictive Modeling
Data Visualization
Caffe
Computer Vision
Machine Learning"
"Analytics Manager,",EXL Services.com ( I ) Pvt. Ltd.,Gurgaon(Cyber City),4-9 Yrs,"data analysis
insurance analytics
time series
svm
machine learning
Model Development
R
data reporting"
Distributed Computing/ Data Analytics developer,Novell India Pvt. Ltd.,Bengaluru,12-16 Yrs,"Computer science
Automation
Software design
cyber security
Machine learning
Intellectual property
SCALA
Open source"
Analytics Manager with Presales experience,R Systems International Ltd.,Noida(Sector-59 Noida),12-15 Yrs,"Data Science
Team Handling
Artificial Intelligence
Natural Language Processing
Neural Networks
Presales
Individual contributor
Data Analytics"
"Software Developer (ulsan, Korea) For EPM Solutions co. ltd.",EPM Solutions co. ltd.,South Korea,5-7 Yrs,"data analysis
software development
big data analytics
data engineer
visualisation software development
ai platform
statistical analysis
ai services"
Machine Learning / AI Practice Head For Kolkata,Optimize IT Systems Private Limited,Kolkata,12-20 Yrs,"deep learning
algorithms
tensorflow
data science
keras
cloud computation
machine learning
big data"
"Manager, Data Science",AERA SOFTWARE TECHNOLOGY PVT LTD,Pune,12-15 Yrs,"Random Forest
Time Series
Python
Predictive Modeling
Arima
Machine Learning
Statistics
Data Science"
Immediate Joining Required - Data Science,Smart Cube India Private Limited,Delhi NCR,4-7 Yrs,"data science
statistical modeling
machine learning
Python"
Hiring Python Developers,WELLS FARGO EGS (India) PRIVATE LIMITED,"Bengaluru, Hyderabad",6-10 Yrs,"Pyspark
Artificial Intelligence
Hadoop
SCALA
Big Data
Data Analysis
Data Analytics
Clustering"
Opportunity For a Statistical Analyst role,TE Connectivity India Private Limited,Bengaluru,6-11 Yrs,"analytics
tableau
data science
predictive modeling
logistic regression
statistical analysis
data preparation
sql"
Advanced Analytics Consultant - Commercial,ABC Consultants Pvt Ltd,Bengaluru,4-6 Yrs,"Commercial Analytics
analytics and data science
statistical modeling
applied statistics
Econometrics"
Machine Learning Engineer,Aizant Global Analytics Pvt Ltd,Hyderabad,4-7 Yrs,"Tensorflow
ANN
C++
CNN
C
datamining
Artificial Intelligence
Neural Networks"
Data Science,Client Of Sampoorna,Pune,12-16 Yrs,"Datascience
machine learning
artificial intelligence"
Data Product Owner,Phenompeople Private Limited,Hyderabad,5-9 Yrs,"Data Science
R
Neo4J
Artificial Intelligence
Information Retrieval
Spark
Data Analytics
Data Cleaning"
Data Science Technical Lead,ExecBoardinAsia,Bengaluru,11-15 Yrs,"Front end
data science
Machine learning
Technical Lead
data visualization
Python"
"Demand Forecasting Manager - ( Sales, Inventory & Operations Planning)",Savitha R B,Gurgaon,4-9 Yrs,"quantitative modeling
Data Extraction
Demand Forecasting
Statistics
MATLAB
Machine Learning
Make To Order
Engineered To Order"
Solution Architect - Smart MFG & AI,Micron Technology Operations India LLP,Hyderabad,10-15 Yrs,"Data Science
Business Intelligence
Artificial Intelligence
Hadoop
Advanced Analytics
Snowflake
Big Data
Spark"
Data Engineer,Fractal Analytics Ltd,Bengaluru,4-6 Yrs,"Computer science
Cloud computing
C++
Linux
Shell scripting
Machine learning
Agile
JIRA"
Sr Python Developer,Larsen & Toubro Infotech Limited,india,4-8 Yrs,"Oracle database
data science
Machine learning
MongoDB
Information technology
Statistics
Analytics
Python"
Director- Machine Learning,Zycus Infotech Pvt Ltd,Bengaluru,14-20 Yrs,"Data Science
NLP
computational linguistics
Natural Language Processing
Neural Networks
Programming
Data Mining
Data Modeling"
Machine Learning Engineer,AERA SOFTWARE TECHNOLOGY PVT LTD,Pune,4-8 Yrs,"Design
python
Docker
spark
kafka
Data science
Deployment
Apache"
Head of Analytics and Data Science,Medi Assist Insurance TPA Pvt. Ltd,Bengaluru,15-20 Yrs,"Predictive Modeling
Heading
Machine Learning
Marketing
Data Science
P
Product Development
Communication Skills"
Head of Data Science,Bigshyft Hiring for Scienaptic,Bengaluru,10-15 Yrs,"work from home
Machine Learning ML
Natural Language Processing NLP
Statistical Modelling
Python"
Architect I - Data Science,Philips India Limited,Bengaluru(Nagavara),10-14 Yrs,"Data Science
R
Algorithms
Software Engineering
Artificial Intelligence
Product Engineering
Machine Learning
Statistical Analysis"
Senior Manager - Data Science,Bigshyft Hiring for Uber,Hyderabad,10-17 Yrs,"work from home
Java
Machine Learning ML
Natural Language Processing NLP"
Specialist II - Data Analytics Lead,Philips India Limited,Bengaluru(Nagavara),7-10 Yrs,"Pytorch
Tensorflow
Java
R
NoSQL
Text Analytics
Data Analysis
Keras"
Architect I - Data Science,Philips India Limited,Bengaluru,5-9 Yrs,"Architect
Product engineering
Statistical analysis
data science
development testing
Debugging
Machine learning
High level design"
Data Science Manager,DMI Innovations Pvt. Ltd,Bengaluru,8-13 Yrs,"Data Science
Neural Networks
Machine Learning
Classification
Data Analysis
Support Vector Machine
Marketing Analytics"
Senior Subject Matter Expert,IHA CONSULTING Services Pvt. Ltd.,Hyderabad,15-25 Yrs,"data analytics
data science
blockchain
ai"
Backend Lead,Springboard,Bengaluru,4-8 Yrs,"SAN
Health insurance
Backend
Architecture
data science
Coding
Debugging
Budgeting"
Director Product Development,MyITBridge,"Chennai, Kochi, Bengaluru",12-18 Yrs,"Big Data Analytics
Product Manager
Product Owner
Director
Data engineering
Product Development
Data Science
Cloud Computing"
Senior Member of Technical Staff - Backend,ThoughtSpot,Bengaluru,7-12 Yrs,"Data analysis
Backend
Coding
Artificial Intelligence
data governance
Manager Technology
Distribution system
Analytics"
Urgent Hiring For Cognitive -bangalore location,Optimum Business Solutions,Bengaluru,4-5 Yrs,"Data Science
python
NLP
cognitive
Natural Language Processing
Machine Learning"
SSD Reliability Engineer,Micron Technology Operations India LLP,Bengaluru,4-9 Yrs,"R
C
Excel
Nvme
Ssd
Programming
Data Collection
Jmp"
Data Science Engineer,AXA Business Services Pvt Ltd,Bengaluru,3-5 Yrs,"Hadoop Administration
GIT
Linux
data science
Coding
Machine learning
Monitoring
Python"
"Data Engineer, Modeling & Onboarding",RS Consultants,Pune,2-7 Yrs,"Golang
Tensorflow
Java
Azure
Ceph
Kafka
Machine Learning
Data Science"
Quant Developer,ASQI Advisors,Mumbai,2-7 Yrs,"Simulation
data science
Coding
Machine learning
Equity
Infrastructure
Workflow
Test cases"
Associate Data Science Consultant,AXA Business Services Pvt Ltd,Bengaluru,3-5 Yrs,"Text mining
PDF
data science
Network analysis
Machine learning
Mining operations
Data mining
Operations"
Data Engineer,Snaphunt,"Delhi NCR, Mumbai, Bengaluru",2-7 Yrs,"Numerical
Computer Science
Applied Mathematics
Strong Analytical Skills
Venture Capital"
Data Engineer - AI,Snaphunt,"Delhi NCR, Mumbai, Bengaluru",0-5 Yrs,"Creative Solutions
Algorithms
Scalability
Artificial Intelligence
Computer Science
Neural Networks
Big Data
Applied Mathematics"
Senior Data/business Intelligence Analyst - Artificial Intelligence,Intello Labs Private Limited,Gurgaon,3-5 Yrs,"Data Science
Business Intelligence
R
NoSQL
Business Analyst
Artificial Intelligence
Data Analyst
Machine Learning"
Data Analyst-sql/python (iit/nit/bits),AVE-Promagne,Bengaluru,3-5 Yrs,"predective analytics
python
data analysis
mysql
statistics
sql"
Educational Specialist (Math),Educational Initiatives,Bengaluru,3-5 Yrs,"coding
development
data analysis
notes
academic
data mining
maths
system architecture"
Associate Data Science Consultant,AXA Business Services Pvt Ltd,Bengaluru,3-5 Yrs,"Text mining
PDF
data science
Network analysis
Machine learning
Mining operations
Data mining
Operations"
Python Developer - Machine Learning/ Data Mining,Huquo Consulting Pvt. Ltd,Noida,3-6 Yrs,"Predictive Modeling
R
NLP
Data Mining
Data Modeling
Spark
Data Analytics
Machine Learning"
Assistant Manager - Analytics - Data Analytics Services,Hexaconcepts,Bengaluru,2-5 Yrs,"Predictive Modeling
NLP
Statistical Modeling
Data Modeling
Data Analytics
Statistics
Machine Learning
Analytics"
"Data Engineer, Modeling & Onboarding",RS Consultants,Pune,2-7 Yrs,"Golang
Tensorflow
Java
Azure
Ceph
Kafka
Machine Learning
Data Science"
Sr Con / AM - CCAR Modeling ( Model Development / Validation ),Pylon Management Consulting Pvt Ltd,Bengaluru,1-6 Yrs,"Predictive Modeling
Logistic Regression
SAS
Arima
credit risk modeling
LGD
Data Mining
Analytics"
IT Digital Marketing Analyst,Param Info Computer Services Pvt. Ltd,"Chennai, Delhi, Mumbai, Bengaluru, Hyderabad",2-5 Yrs,"C++
Core Java
Front end
AutoCAD
big data analytics
CMS
Digital marketing
MATLAB"
Analytics Consultant,Sibia Analytics,"Delhi, Mumbai, Kolkata",1-5 Yrs,"Cloud computing
Machine learning
Mathematics
Customer experience
Econometrics
big data
Predictive analytics
Statistics"
Data Science Intern /Trainee,Infobiz,"Chennai, Pune, Delhi, Mumbai, Ahmedabad, Bengaluru, Kochi, Coimbatore, Hyderabad",0-5 Yrs,"Tensorflow
Anomaly Detection
Data Science
NLP
NoSQL
Lstm
Artificial Intelligence
Sentiment Analysis"
Data Science intern,Caltyger,Mumbai,0-0 Yrs,"Mining
Computer vision
deep learning
data science
Intern
Neural networks
Machine learning
Data collection"
Consultant-Advanced Analytics Python/ R,Fractal.ai,"Mumbai, Bengaluru, Gurgaon",1-6 Yrs,"Computer science
Data conversion
Project management
Machine learning
Data quality
Predictive modeling
Anova
Stakeholder management"
Quant Developer,ASQI Advisors,Mumbai,2-7 Yrs,"Simulation
data science
Coding
Machine learning
Equity
Infrastructure
Workflow
Test cases"
ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,Blocklogy Edutech Private Limited,Mumbai,1-3 Yrs,"E-learning
C++
Coding
Artificial Intelligence
Machine learning
Pattern recognition
Open source
Data mining"
Manager / Sr. Manager - Analytics - CPG only,CHANGE LEADERS CONSULTING,Mumbai(Powai),5-8 Yrs,"analytics
python
data science
use cases
price elasticity
forecasting
segmentation
cpg"
Data Analyst - Machine Learning/ Data Science,Intello Labs Private Limited,Gurgaon,2-3 Yrs,"Data Science
R
NoSQL
Power BI
Data Visualization
Data Analyst
Machine Learning
Algorithm"
PYTHON TRAINER,Blocklogy Edutech Private Limited,Mumbai,1-6 Yrs,"E-learning
C++
Coding
Artificial Intelligence
Machine learning
Pattern recognition
Open source
Data mining"
Data Analyst-sql/python (iit/nit/bits),AVE-Promagne,Bengaluru,3-5 Yrs,"predective analytics
python
data analysis
mysql
statistics
sql"
Senior Analyst - SQL/ SAS/ Python/ Machine Learning - Banking Domain,Huquo Consulting Pvt. Ltd,Bengaluru,1-4 Yrs,"Data Science
Consulting - BFSI
SAS
Senior Analyst
Data Scientist
Data Analytics
Machine Learning
Statistics"
Opening For Decision Scientist,Axtria India Private Limited,Bengaluru,3-7 Yrs,"market analytics
decision science
python
market mix model
SAS
pharma analytics
forecasting
predictive analytics"
Educational Specialist (Math),Educational Initiatives,"Ahmedabad, Bengaluru",2-7 Yrs,"System architecture
Educational Specialist
Data analysis
Networking
MySQL
Data miningPHP
Math"
Trainer Data Science,Indian Institute of Digital Education,Mumbai,2-5 Yrs,"Training
GIT
data science
Coding
Public speaking
AWS
Supervision
Python"
Data Analyst For Mumbai (Client Location),Softlogique IT Solutions Pvt Ltd,Mumbai,3-5 Yrs,"Predictive Modeling
Statistical Modeling
Data Analytics
Analytics"
Data Analyst - Work Location - Bangalore,SOLUNUS TECHNOLOGIES PRIVATE LIMITED,"Mumbai, Bengaluru, Hyderabad",2-7 Yrs,"Factspan
MS Excel
forecasting
Text Analysis
Regression
Clustering
Moving Average
Isolation Forest"
"R&D Engineer/ Machine Learning, NLP",IPsoft Global Services Private Limited,Bengaluru(Whitefield),1-6 Yrs,"Java
C++
NLP
Data Structures
Machine Learning
Deep Learning
Python"
Data Analyst-Analytics,Linedata Technology Private Limited,Mumbai,3-8 Yrs,"Tableau
Python
Predictive Analytics
stastical modelling
Data Analyst
Text Mining
Machine Learning"
Python Developer,Softlabs Technologies and Development Pvt. Ltd.,Mumbai,2-5 Yrs,"Ubuntu
C++
Backend
Front end
data science
Coding
SCALA
Apache"
Software Developer . Net,lemark institute of art,Mumbai Suburbs,1-5 Yrs,"data science
Machine learning
Predictive modeling"
Python Developer - Deep Learning/Machine Learning,e3consultant,Chennai,2-7 Yrs,"Data Science
Analytical Skills
Artificial Intelligence
Web Technologies
Machine Learning
Deep Learning
Web Services
Python"
ADAS Data Analytics Algorithm & Application Development,Rays Hrconsulting,Bengaluru,2-4 Yrs,"Object Detection
Scipy
ADAS Data Analytics
Opencv
Image Processing
Computer Vision
Machine Learning
Deep Learning"
Assistant Manager - Analytics - Data Analytics Services,Hexaconcepts,Bengaluru,2-5 Yrs,"Predictive Modeling
NLP
Statistical Modeling
Data Modeling
Data Analytics
Statistics
Machine Learning
Analytics"
